Gene stable ID,Gene description,Gene type,Gene name
ENSG00000304884,"novel transcript, antisense to ADAMTSL1",lncRNA,
ENSG00000234962,long intergenic non-protein coding RNA 700 [Source:HGNC Symbol;Acc:HGNC:27422],lncRNA,LINC00700
ENSG00000237515,shisa family member 9 [Source:HGNC Symbol;Acc:HGNC:37231],protein_coding,SHISA9
ENSG00000230815,novel transcript,lncRNA,
ENSG00000304908,novel transcript,lncRNA,
ENSG00000287551,"novel transcript, antisense to LINGO2",lncRNA,
ENSG00000296792,novel transcript,lncRNA,
ENSG00000304973,"novel transcript, sense intronic to CENPP",lncRNA,
ENSG00000304985,novel transcript,lncRNA,
ENSG00000296808,novel transcript,lncRNA,
ENSG00000305014,novel transcript,lncRNA,
ENSG00000154269,ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:3358],protein_coding,ENPP3
ENSG00000305015,novel transcript,lncRNA,
ENSG00000296856,novel transcript,lncRNA,
ENSG00000306304,novel transcript,lncRNA,
ENSG00000296876,novel transcript,lncRNA,
ENSG00000306326,novel transcript,lncRNA,
ENSG00000296881,novel transcript,lncRNA,
ENSG00000286322,novel transcript,lncRNA,
ENSG00000306370,novel transcript,lncRNA,
ENSG00000296895,novel transcript,lncRNA,
ENSG00000262116,"novel transcript, antisense to SHISA9",lncRNA,
ENSG00000296899,novel transcript,lncRNA,
ENSG00000233232,nuclear pore complex interacting protein family member B7 [Source:HGNC Symbol;Acc:HGNC:33832],protein_coding,NPIPB7
ENSG00000286598,novel transcript,lncRNA,
ENSG00000227076,novel transcript,lncRNA,
ENSG00000306383,novel transcript,lncRNA,
ENSG00000306390,novel transcript,lncRNA,
ENSG00000299746,novel transcript,lncRNA,
ENSG00000259275,novel transcript,lncRNA,
ENSG00000287326,"Novel transcript, antisense to C10orf90",lncRNA,
ENSG00000186153,WW domain containing oxidoreductase [Source:HGNC Symbol;Acc:HGNC:12799],protein_coding,WWOX
ENSG00000280725,long intergenic non-protein coding RNA 251 [Source:HGNC Symbol;Acc:HGNC:31950],lncRNA,LINC00251
ENSG00000250409,novel transcript,lncRNA,
ENSG00000281641,SAMD12 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:30937],lncRNA,SAMD12-AS1
ENSG00000307986,novel transcript,lncRNA,
ENSG00000221287,microRNA 1289-2 [Source:HGNC Symbol;Acc:HGNC:35282],miRNA,MIR1289-2
ENSG00000280104,TEC,TEC,
ENSG00000279197,TEC,TEC,
ENSG00000251243,"DnaJ (Hsp40) homolog, subfamily C, member 24 (DNAJC24) pseudogene",processed_pseudogene,
ENSG00000120733,lysine demethylase 3B [Source:HGNC Symbol;Acc:HGNC:1337],protein_coding,KDM3B
