Gene stable ID,Gene description,Gene type,Gene name
ENSG00000252599,"RNA, U6 small nuclear 566, pseudogene [Source:HGNC Symbol;Acc:HGNC:47529]",snRNA,RNU6-566P
ENSG00000223658,C1GALT1 specific chaperone 1 like [Source:HGNC Symbol;Acc:HGNC:51617],protein_coding,C1GALT1C1L
ENSG00000299187,novel transcript,lncRNA,
ENSG00000258616,long intergenic non-protein coding RNA 2303 [Source:HGNC Symbol;Acc:HGNC:53222],lncRNA,LINC02303
ENSG00000233579,keratin 8 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:33367],processed_pseudogene,KRT8P15
ENSG00000167553,tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768],protein_coding,TUBA1C
ENSG00000298993,novel transcript,lncRNA,
ENSG00000254303,novel transcript,lncRNA,
ENSG00000298995,novel transcript,lncRNA,
ENSG00000255277,ATP binding cassette subfamily C member 6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33353],transcribed_unprocessed_pseudogene,ABCC6P2
ENSG00000254209,long intergenic non-protein coding RNA 2855 [Source:HGNC Symbol;Acc:HGNC:54392],lncRNA,LINC02855
ENSG00000299273,novel transcript,lncRNA,
ENSG00000260628,Rho GTPase activating protein 23 (ARHGAP23) pseudogene,transcribed_unprocessed_pseudogene,
ENSG00000138380,calcium responsive transcription factor [Source:HGNC Symbol;Acc:HGNC:14435],protein_coding,CARF
ENSG00000299023,novel transcript,lncRNA,
ENSG00000227619,novel transcript,lncRNA,
ENSG00000238084,"succinate dehydrogenase complex, subunit D, integral membrane protein (SDHD) pseudogene",processed_pseudogene,
ENSG00000293472,novel transcript,lncRNA,
ENSG00000248629,novel transcript,lncRNA,
ENSG00000204178,macoilin 1 [Source:HGNC Symbol;Acc:HGNC:25572],protein_coding,MACO1
ENSG00000280284,TEC,TEC,
ENSG00000278880,TEC,TEC,
ENSG00000250622,ribosomal protein L34 (RPL34) pseudogene,processed_pseudogene,
ENSG00000251191,long intergenic non-protein coding RNA 589 [Source:HGNC Symbol;Acc:HGNC:32299],lncRNA,LINC00589
ENSG00000260644,HERC2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:4873],transcribed_unprocessed_pseudogene,HERC2P5
ENSG00000252350,"ribonuclease P RNA component H1, 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:47030]",ribozyme,RPPH1-3P
ENSG00000114631,podocalyxin like 2 [Source:HGNC Symbol;Acc:HGNC:17936],protein_coding,PODXL2
ENSG00000183439,tripartite motif containing 61 [Source:HGNC Symbol;Acc:HGNC:24339],protein_coding,TRIM61
ENSG00000299386,novel transcript,lncRNA,
ENSG00000299043,novel transcript,lncRNA,
ENSG00000070081,nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044],protein_coding,NUCB2
ENSG00000281720,double homeobox 4 like 8 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:38670],unprocessed_pseudogene,DUX4L8
ENSG00000299047,novel transcript,lncRNA,
ENSG00000224842,LMX1B divergent transcript [Source:HGNC Symbol;Acc:HGNC:55849],lncRNA,LMX1B-DT
ENSG00000281652,double homeobox 4 like 7 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37266],unprocessed_pseudogene,DUX4L7
ENSG00000281058,double homeobox 4 like 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37265],unprocessed_pseudogene,DUX4L6
ENSG00000214617,"solute carrier family 6 member 10, pseudogene [Source:HGNC Symbol;Acc:HGNC:11043]",transcribed_unprocessed_pseudogene,SLC6A10P
ENSG00000089250,nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872],protein_coding,NOS1
ENSG00000280799,double homeobox 4 like 5 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:38689],unprocessed_pseudogene,DUX4L5
ENSG00000299403,novel transcript,lncRNA,
ENSG00000258834,double homeobox 4 like 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:38686],unprocessed_pseudogene,DUX4L4
ENSG00000114626,ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275],protein_coding,ABTB1
ENSG00000187103,FUN14 domain containing 2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37970],processed_pseudogene,FUNDC2P3
ENSG00000258655,ARHGAP5 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:20279],lncRNA,ARHGAP5-AS1
ENSG00000222971,"RNA, 5S ribosomal pseudogene 222 [Source:HGNC Symbol;Acc:HGNC:43122]",rRNA_pseudogene,RNA5SP222
ENSG00000280757,double homeobox 4 like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:3082],unprocessed_pseudogene,DUX4L1
ENSG00000216811,"phosphoribosyl pyrophosphate synthetase (PRPS1, PRPS2) pseudogene",processed_pseudogene,
ENSG00000299421,novel transcript,lncRNA,
ENSG00000118508,"RAB32, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9772]",protein_coding,RAB32
ENSG00000300330,novel transcript,lncRNA,
ENSG00000299534,novel transcript,lncRNA,
ENSG00000281627,double homeobox 4 like 3 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:38688],unprocessed_pseudogene,DUX4L3
ENSG00000299566,novel transcript,lncRNA,
ENSG00000299612,novel transcript,lncRNA,
ENSG00000299618,"novel transcript, antisense to SYT16",lncRNA,
ENSG00000261599,HERC2 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:38747],transcribed_unprocessed_pseudogene,HERC2P8
ENSG00000299673,novel transcript,lncRNA,
ENSG00000280457,double homeobox 4 like 2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:37267],unprocessed_pseudogene,DUX4L2
ENSG00000299691,novel transcript,lncRNA,
ENSG00000299091,novel transcript,lncRNA,
ENSG00000196634,lung adenocarcinoma associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:51845],lncRNA,LUADT1
ENSG00000299167,novel transcript,lncRNA,
ENSG00000072062,protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380],protein_coding,PRKACA
ENSG00000225773,C4B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39752],lncRNA,C4B-AS1
ENSG00000273997,heat shock 70kDa protein 8 (HSPA8) pseudogene,processed_pseudogene,
ENSG00000299168,novel transcript,lncRNA,
ENSG00000242335,complement factor B [Source:HGNC Symbol;Acc:HGNC:1037],protein_coding,CFB
ENSG00000220494,YAP1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38016],processed_pseudogene,YAP1P1
ENSG00000064042,LIM and calponin homology domains 1 [Source:HGNC Symbol;Acc:HGNC:29191],protein_coding,LIMCH1
ENSG00000118418,high mobility group nucleosomal binding domain 3 [Source:HGNC Symbol;Acc:HGNC:12312],protein_coding,HMGN3
ENSG00000299719,novel transcript,lncRNA,
ENSG00000185787,mortality factor 4 like 1 [Source:HGNC Symbol;Acc:HGNC:16989],protein_coding,MORF4L1
ENSG00000300333,novel transcript,lncRNA,
ENSG00000299727,novel transcript,lncRNA,
ENSG00000299197,novel transcript,lncRNA,
ENSG00000300341,novel transcript,lncRNA,
ENSG00000259087,novel transcript,lncRNA,
ENSG00000300354,novel transcript,lncRNA,
ENSG00000198860,tRNA splicing endonuclease subunit 15 [Source:HGNC Symbol;Acc:HGNC:16791],protein_coding,TSEN15
ENSG00000300359,novel transcript,lncRNA,
ENSG00000299203,novel transcript,lncRNA,
ENSG00000300376,novel transcript,lncRNA,
ENSG00000259230,long intergenic non-protein coding RNA 2323 [Source:HGNC Symbol;Acc:HGNC:53242],lncRNA,LINC02323
ENSG00000300380,novel transcript,lncRNA,
ENSG00000299212,novel transcript,lncRNA,
ENSG00000285971,novel transcript,lncRNA,
ENSG00000299220,novel transcript,lncRNA,
ENSG00000183604,SMG1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:49862],transcribed_unprocessed_pseudogene,SMG1P5
ENSG00000287782,"novel transcript, antisense to MAPKAP1",lncRNA,
ENSG00000299227,"novel transcript, antisense to GNE",lncRNA,
ENSG00000300401,"novel transcript, sense intronic to PLEKHF2",lncRNA,
ENSG00000300402,novel transcript,lncRNA,
ENSG00000299229,novel transcript,lncRNA,
ENSG00000182158,cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720],protein_coding,CREB3L2
ENSG00000239705,HSPA5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55645],lncRNA,HSPA5-DT
ENSG00000300409,novel transcript,lncRNA,
ENSG00000300417,novel transcript,lncRNA,
ENSG00000253849,novel transcript,lncRNA,
ENSG00000262583,TMEM231 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:53870],transcribed_unprocessed_pseudogene,TMEM231P1
ENSG00000300442,novel transcript,lncRNA,
ENSG00000299837,novel transcript,lncRNA,
ENSG00000253111,TRIB1 associated lncRNA [Source:HGNC Symbol;Acc:HGNC:56762],lncRNA,TRIB1AL
ENSG00000237296,SMG1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44186],transcribed_unprocessed_pseudogene,SMG1P1
ENSG00000259028,novel transcript,lncRNA,
ENSG00000299280,novel transcript,lncRNA,
ENSG00000299285,novel transcript,lncRNA,
ENSG00000299300,novel transcript,lncRNA,
ENSG00000233677,DEAD-box helicase 39B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33450],unprocessed_pseudogene,DDX39BP1
ENSG00000288730,novel transcript,lncRNA,
ENSG00000254377,MIR124-2 host gene [Source:HGNC Symbol;Acc:HGNC:48723],lncRNA,MIR124-2HG
ENSG00000235963,mitochondrial coiled-coil domain 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33449],unprocessed_pseudogene,MCCD1P1
ENSG00000299896,"novel transcript, antisense to AKAP6",lncRNA,
ENSG00000228078,"major histocompatibility complex, class I, U (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23477]",unprocessed_pseudogene,HLA-U
ENSG00000234506,long intergenic non-protein coding RNA 1506 [Source:HGNC Symbol;Acc:HGNC:51187],lncRNA,LINC01506
ENSG00000299988,"novel transcript, antisense to NDRG2",lncRNA,
ENSG00000227766,HLA complex group 4 pseudogene 5,unprocessed_pseudogene,
ENSG00000229390,MHC class I polypeptide-related sequence D (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7093],unprocessed_pseudogene,MICD
ENSG00000286595,novel transcript,lncRNA,
ENSG00000204622,"major histocompatibility complex, class I, J (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4967]",transcribed_unprocessed_pseudogene,HLA-J
ENSG00000276030,long intergenic non-protein coding RNA 3085 [Source:HGNC Symbol;Acc:HGNC:56691],lncRNA,LINC03085
ENSG00000171051,formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826],protein_coding,FPR1
ENSG00000274903,plasminogen (PLG) pseudogene,unprocessed_pseudogene,
ENSG00000122194,plasminogen [Source:HGNC Symbol;Acc:HGNC:9071],protein_coding,PLG
ENSG00000248124,RRN3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30548],transcribed_unprocessed_pseudogene,RRN3P1
ENSG00000251369,zinc finger protein 550 [Source:HGNC Symbol;Acc:HGNC:28643],protein_coding,ZNF550
ENSG00000300113,novel transcript,lncRNA,
ENSG00000300116,"novel transcript, antisense to BCL2L2",lncRNA,
ENSG00000180747,SMG1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49860],transcribed_unprocessed_pseudogene,SMG1P3
ENSG00000214900,long intergenic non-protein coding RNA 1588 [Source:HGNC Symbol;Acc:HGNC:27503],lncRNA,LINC01588
ENSG00000110218,pannexin 1 [Source:HGNC Symbol;Acc:HGNC:8599],protein_coding,PANX1
ENSG00000295340,novel transcript,lncRNA,
ENSG00000299330,novel transcript,lncRNA,
ENSG00000260370,novel transcript,lncRNA,
ENSG00000300537,novel transcript,lncRNA,
ENSG00000213994,PFKFB3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:58068],lncRNA,PFKFB3-AS1
ENSG00000300540,novel transcript,lncRNA,
ENSG00000300541,novel transcript,lncRNA,
ENSG00000287402,novel transcript,lncRNA,
ENSG00000112309,"beta-1,3-glucuronyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:922]",protein_coding,B3GAT2
ENSG00000300552,novel transcript,lncRNA,
ENSG00000205361,"metallothionein 1D, pseudogene [Source:HGNC Symbol;Acc:HGNC:7396]",transcribed_unprocessed_pseudogene,MT1DP
ENSG00000300553,novel transcript,lncRNA,
ENSG00000187715,kelch repeat and BTB domain containing 12 [Source:HGNC Symbol;Acc:HGNC:25731],protein_coding,KBTBD12
ENSG00000260078,MPHOSPH10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55687],transcribed_unprocessed_pseudogene,MPHOSPH10P1
ENSG00000245857,uncharacterized LOC100652791 [Source:NCBI gene (formerly Entrezgene);Acc:100652791],lncRNA,GS1-24F4.2
ENSG00000233178,"novel transcript, antisense to PGM5",lncRNA,
ENSG00000118507,A-kinase anchoring protein 7 [Source:HGNC Symbol;Acc:HGNC:377],protein_coding,AKAP7
ENSG00000260549,metallothionein 1L (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7404],transcribed_unprocessed_pseudogene,MT1L
ENSG00000256745,actin related protein 2/3 complex subunit 3 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:39432],processed_pseudogene,ARPC3P3
ENSG00000123901,G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523],protein_coding,GPR83
ENSG00000262587,leucine carboxyl methyltransferase 1 (LCMT1) pseudogene,transcribed_unprocessed_pseudogene,
ENSG00000286359,novel transcript,lncRNA,
ENSG00000234639,"protein phosphatase 2, regulatory subunit B', gamma isoform (PPP2R5C) pseudogene",processed_pseudogene,
ENSG00000259009,tetrapeptide repeat homeobox 2 [Source:HGNC Symbol;Acc:HGNC:32175],protein_coding,TPRX2
ENSG00000284649,BTG3 associated nuclear protein (BANP) pseudogene,transcribed_unprocessed_pseudogene,
ENSG00000261556,SMG1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:49864],transcribed_unprocessed_pseudogene,SMG1P7
ENSG00000233683,pseudogene similar to part of ribosomal protein L6 RPL6,processed_pseudogene,
ENSG00000299358,"novel transcript, antisense to ISCA1 and ZCCHC6",lncRNA,
ENSG00000199840,Y RNA [Source:RFAM;Acc:RF00019],misc_RNA,Y_RNA
ENSG00000105398,sulfotransferase family 2A member 1 [Source:HGNC Symbol;Acc:HGNC:11458],protein_coding,SULT2A1
ENSG00000259294,"novel transcript, antisense to CUX1",lncRNA,
ENSG00000299368,"novel transcript, antisense to PGM5",lncRNA,
ENSG00000160838,leucine rich repeat containing 71 [Source:HGNC Symbol;Acc:HGNC:26556],protein_coding,LRRC71
ENSG00000295421,novel transcript,lncRNA,
ENSG00000106436,myosin light chain 10 [Source:HGNC Symbol;Acc:HGNC:29825],protein_coding,MYL10
ENSG00000224958,PGM5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44181],lncRNA,PGM5-AS1
ENSG00000295437,novel transcript,lncRNA,
ENSG00000201210,"RNA, 5S ribosomal pseudogene 139 [Source:HGNC Symbol;Acc:HGNC:43039]",rRNA_pseudogene,RNA5SP139
ENSG00000222627,"RNA, U2 small nuclear 37, pseudogene [Source:HGNC Symbol;Acc:HGNC:48530]",snRNA,RNU2-37P
ENSG00000239608,RUVBL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40514],lncRNA,RUVBL1-AS1
ENSG00000215154,potassium channel tetramerisation domain containing 5 (KCTD5) pseudogene,transcribed_unprocessed_pseudogene,
ENSG00000074416,monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038],protein_coding,MGLL
ENSG00000254986,dipeptidyl peptidase 3 [Source:HGNC Symbol;Acc:HGNC:3008],protein_coding,DPP3
ENSG00000300589,novel transcript,lncRNA,
ENSG00000103495,MYC associated zinc finger protein [Source:HGNC Symbol;Acc:HGNC:6914],protein_coding,MAZ
ENSG00000253690,novel transcript,lncRNA,
ENSG00000295457,novel transcript,lncRNA,
ENSG00000226337,TMEM252 divergent transcript [Source:HGNC Symbol;Acc:HGNC:54377],lncRNA,TMEM252-DT
ENSG00000188493,actin maturation protease [Source:HGNC Symbol;Acc:HGNC:24758],protein_coding,ACTMAP
ENSG00000300597,novel transcript,lncRNA,
ENSG00000300616,"novel transcript, antisense to XKR5",lncRNA,
ENSG00000300638,novel transcript,lncRNA,
ENSG00000295473,"novel transcript, antisense to MARCH8",lncRNA,
ENSG00000300677,novel transcript,lncRNA,
ENSG00000299424,novel transcript,lncRNA,
ENSG00000295477,novel transcript,lncRNA,
ENSG00000299441,novel transcript,lncRNA,
ENSG00000299446,"novel transcript, antisense to TBC1D2 and CORO2A",lncRNA,
ENSG00000288922,novel transcript,lncRNA,
ENSG00000233801,negative elongation factor complex member E [Source:HGNC Symbol;Acc:HGNC:13974],protein_coding,NELFE
ENSG00000299461,novel transcript,lncRNA,
ENSG00000299478,"novel transcript, sense intronic to QSOX2",lncRNA,
ENSG00000211581,microRNA 765 [Source:HGNC Symbol;Acc:HGNC:33141],miRNA,MIR765
ENSG00000105849,RNA polymerase I subunit F [Source:HGNC Symbol;Acc:HGNC:18027],protein_coding,POLR1F
ENSG00000232590,novel transcript,lncRNA,
ENSG00000266160,"RNA, 7SL, cytoplasmic 612, pseudogene [Source:HGNC Symbol;Acc:HGNC:46628]",misc_RNA,RN7SL612P
ENSG00000300699,novel transcript,lncRNA,
ENSG00000155816,formin 2 [Source:HGNC Symbol;Acc:HGNC:14074],protein_coding,FMN2
ENSG00000300718,novel transcript,lncRNA,
ENSG00000150991,ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468],protein_coding,UBC
ENSG00000300722,"novel transcript, antisense to PPP1R42",lncRNA,
ENSG00000300729,novel transcript,lncRNA,
ENSG00000300738,novel transcript,lncRNA,
ENSG00000289405,MIR30D and MIR30B host gene,lncRNA,
ENSG00000265932,microRNA 3146 [Source:HGNC Symbol;Acc:HGNC:38368],miRNA,MIR3146
ENSG00000173452,transmembrane protein 196 [Source:HGNC Symbol;Acc:HGNC:22431],protein_coding,TMEM196
ENSG00000295480,"novel transcript, antisense to BAG3",lncRNA,
ENSG00000137310,transcription factor 19 [Source:HGNC Symbol;Acc:HGNC:11629],protein_coding,TCF19
ENSG00000295496,novel transcript,lncRNA,
ENSG00000295498,novel transcript,lncRNA,
ENSG00000295536,novel transcript,lncRNA,
ENSG00000300793,novel transcript,lncRNA,
ENSG00000295551,novel transcript,lncRNA,
ENSG00000300803,novel transcript,lncRNA,
ENSG00000295558,novel transcript,lncRNA,
ENSG00000237921,novel transcript,lncRNA,
ENSG00000295562,"novel transcript, antisense to KCNMA1",lncRNA,
ENSG00000071462,BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405],protein_coding,BUD23
ENSG00000300805,novel transcript,lncRNA,
ENSG00000300837,novel transcript,lncRNA,
ENSG00000077312,small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151],protein_coding,SNRPA
ENSG00000300942,"novel transcript, antisense to KCNQ3",lncRNA,
ENSG00000300968,novel transcript,lncRNA,
ENSG00000286840,novel transcript,lncRNA,
ENSG00000300974,novel transcript,lncRNA,
ENSG00000253888,novel transcript,lncRNA,
ENSG00000226140,long intergenic non-protein coding RNA 2654 [Source:HGNC Symbol;Acc:HGNC:54140],lncRNA,LINC02654
ENSG00000299499,novel transcript,lncRNA,
ENSG00000299511,novel transcript,lncRNA,
ENSG00000254231,WWP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55520],lncRNA,WWP1-AS1
ENSG00000120265,protein-L-isoaspartate (D-aspartate) O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:8728],protein_coding,PCMT1
ENSG00000299518,"novel transcript, antisense to ROR2",lncRNA,
ENSG00000284418,novel transcript,lncRNA,
ENSG00000139436,GIT ArfGAP 2 [Source:HGNC Symbol;Acc:HGNC:4273],protein_coding,GIT2
ENSG00000301009,novel transcript,lncRNA,
ENSG00000301017,novel transcript,lncRNA,
ENSG00000180353,hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844],protein_coding,HCLS1
ENSG00000272853,SUV39H2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55188],lncRNA,SUV39H2-DT
ENSG00000301020,novel transcript,lncRNA,
ENSG00000301024,"novel transcript, sense intronic to PARP10",lncRNA,
ENSG00000253123,novel transcript,lncRNA,
ENSG00000295590,novel transcript,lncRNA,
ENSG00000295627,novel transcript,lncRNA,
ENSG00000234840,long intergenic non-protein coding RNA 1239 [Source:HGNC Symbol;Acc:HGNC:49796],lncRNA,LINC01239
ENSG00000295641,novel transcript,lncRNA,
ENSG00000299547,novel transcript,lncRNA,
ENSG00000295647,novel transcript,lncRNA,
ENSG00000295657,"novel transcript, antisense to PAX2",lncRNA,
ENSG00000228862,novel transcript,lncRNA,
ENSG00000299552,novel transcript,lncRNA,
ENSG00000295664,novel transcript,lncRNA,
ENSG00000295679,novel transcript,lncRNA,
ENSG00000267026,"novel transcript, antisense to GALNT12",lncRNA,
ENSG00000091704,carboxypeptidase A1 [Source:HGNC Symbol;Acc:HGNC:2296],protein_coding,CPA1
ENSG00000224382,long intergenic non-protein coding RNA 703 [Source:HGNC Symbol;Acc:HGNC:44677],lncRNA,LINC00703
ENSG00000281005,long intergenic non-protein coding RNA 921 [Source:HGNC Symbol;Acc:HGNC:26830],lncRNA,LINC00921
ENSG00000290885,novel transcript,lncRNA,
ENSG00000235939,novel transcript,lncRNA,
ENSG00000197006,"methyltransferase 9, His-X-His N1(pi)-histidine [Source:HGNC Symbol;Acc:HGNC:24586]",protein_coding,METTL9
ENSG00000261857,MIA SH3 domain containing [Source:HGNC Symbol;Acc:HGNC:7076],protein_coding,MIA
ENSG00000112715,vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680],protein_coding,VEGFA
ENSG00000295737,novel transcript,lncRNA,
ENSG00000295748,novel transcript,lncRNA,
ENSG00000295787,novel transcript,lncRNA,
ENSG00000295788,novel transcript,lncRNA,
ENSG00000236968,novel transcript,lncRNA,
ENSG00000299588,"novel transcript, antisense to GRIN3A",lncRNA,
ENSG00000295831,novel transcript,lncRNA,
ENSG00000289952,"novel transcript, antisense to RNLS",lncRNA,
ENSG00000230014,long intergenic non-protein coding RNA 709 [Source:HGNC Symbol;Acc:HGNC:44700],lncRNA,LINC00709
ENSG00000299606,novel transcript,lncRNA,
ENSG00000295867,novel transcript,lncRNA,
ENSG00000299632,novel transcript,lncRNA,
ENSG00000295912,novel transcript,lncRNA,
ENSG00000301063,"novel transcript, antisense to ZNF251",lncRNA,
ENSG00000299636,novel transcript,lncRNA,
ENSG00000301077,"novel transcript, sense intronic to ZHX2",lncRNA,
ENSG00000295925,"novel transcript, antisense to CTNNA3",lncRNA,
ENSG00000301099,"novel transcript, antisense to ZHX2",lncRNA,
ENSG00000225361,PPP1R26 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48717],lncRNA,PPP1R26-AS1
ENSG00000295976,"novel transcript, antisense to ABCC2",lncRNA,
ENSG00000252317,Y RNA [Source:RFAM;Acc:RF00019],misc_RNA,Y_RNA
ENSG00000286878,novel transcript,lncRNA,
ENSG00000233519,"novel transcript, antisense to FMN2",lncRNA,
ENSG00000289874,novel transcript,lncRNA,
ENSG00000180875,"gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]",protein_coding,GREM2
ENSG00000226051,ZNF503 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27370],lncRNA,ZNF503-AS1
ENSG00000080802,CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880],protein_coding,CNOT4
ENSG00000301159,novel transcript,lncRNA,
ENSG00000086544,inositol-trisphosphate 3-kinase C [Source:HGNC Symbol;Acc:HGNC:14897],protein_coding,ITPKC
ENSG00000224359,"novel transcript, antisense to GREM2",lncRNA,
ENSG00000226014,cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous) (COX6B1) pseudogene,processed_pseudogene,
ENSG00000254339,novel transcript,lncRNA,
ENSG00000231440,novel transcript,lncRNA,
ENSG00000299639,novel transcript,lncRNA,
ENSG00000228844,ribosomal protein S11 (RPS11) pseudogene,processed_pseudogene,
ENSG00000251750,"RNA, U5F small nuclear 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:42531]",snRNA,RNU5F-8P
ENSG00000299651,novel transcript,lncRNA,
ENSG00000234872,ferredoxin pseudogene,processed_pseudogene,
ENSG00000288865,novel transcript,lncRNA,
ENSG00000143382,ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706],protein_coding,ADAMTSL4
ENSG00000299681,novel transcript,lncRNA,
ENSG00000290675,novel transcript,lncRNA,
ENSG00000299696,"novel transcript, antisense to SUSD1",lncRNA,
ENSG00000228896,SKI2 subunit of superkiller complex [Source:HGNC Symbol;Acc:HGNC:10898],protein_coding,SKIC2
ENSG00000228115,novel transcript,lncRNA,
ENSG00000274460,novel transcript,lncRNA,
ENSG00000185716,modulator of smoothened [Source:HGNC Symbol;Acc:HGNC:27087],protein_coding,MOSMO
ENSG00000299739,novel transcript,lncRNA,
ENSG00000167807,novel transcript,protein_coding,
ENSG00000286428,novel transcript,lncRNA,
ENSG00000301192,novel transcript,lncRNA,
ENSG00000299778,novel transcript,lncRNA,
ENSG00000232479,keratin 8 pseudogene 52 [Source:HGNC Symbol;Acc:HGNC:54654],processed_pseudogene,KRT8P52
ENSG00000301205,novel transcript,lncRNA,
ENSG00000270664,chromosome 18 open reading frame 32 (C18orf32) pseudogene,processed_pseudogene,
ENSG00000301228,novel transcript,lncRNA,
ENSG00000232994,ribosomal protein L7 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:35984],processed_pseudogene,RPL7P14
ENSG00000299785,novel transcript,lncRNA,
ENSG00000202059,,snoRNA,
ENSG00000299819,novel transcript,lncRNA,
ENSG00000268400,novel protein,protein_coding,
ENSG00000287615,novel transcript,lncRNA,
ENSG00000228513,zinc finger protein 14 (ZNF14) pseudogene,processed_pseudogene,
ENSG00000225124,ribosomal protein L23a pseudogene 36 [Source:HGNC Symbol;Acc:HGNC:35685],processed_pseudogene,RPL23AP36
ENSG00000299845,novel transcript,lncRNA,
ENSG00000301237,novel transcript,lncRNA,
ENSG00000204196,ribosomal protein L12 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36926],transcribed_processed_pseudogene,RPL12P16
ENSG00000243544,"RNA, 7SL, cytoplasmic 172, pseudogene [Source:HGNC Symbol;Acc:HGNC:46188]",misc_RNA,RN7SL172P
ENSG00000222057,"RNA, U4 small nuclear 62, pseudogene [Source:HGNC Symbol;Acc:HGNC:46998]",snRNA,RNU4-62P
ENSG00000235601,BARX1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:50673],lncRNA,BARX1-DT
ENSG00000173226,IQ motif containing B1 [Source:HGNC Symbol;Acc:HGNC:28949],protein_coding,IQCB1
ENSG00000301251,novel transcript,lncRNA,
ENSG00000301252,novel transcript,lncRNA,
ENSG00000175267,von Willebrand factor A domain containing 3A [Source:HGNC Symbol;Acc:HGNC:27088],protein_coding,VWA3A
ENSG00000301297,"novel transcript, antisense to TRAPPC9",lncRNA,
ENSG00000301305,novel transcript,lncRNA,
ENSG00000301307,"novel transcript, sense intronic to SGCZ",lncRNA,
ENSG00000138095,leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714],protein_coding,LRPPRC
