cl_id	cl_name	cl_idx
CL:0001025	Kit-positive, Sca1-positive common lymphoid progenitor	1026
CL:0001026	CD34-positive, CD38-positive common myeloid progenitor	1027
CL:0001027	CD7-negative lymphoid progenitor cell	1028
CL:0001028	CD7-positive lymphoid progenitor cell	1029
CL:0001029	common dendritic progenitor	1030
CL:0001030	CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor	-1031
CL:0001041	CD8-positive, CXCR3-positive, alpha-beta regulatory T cell	1039
CL:0001042	T-helper 22 cell	1040
CL:0001043	activated CD4-positive, alpha-beta T cell, human	1041
CL:0001044	effector CD4-positive, alpha-beta T cell	1042
CL:0001045	naive CCR4-positive regulatory T cell	1043
CL:0001046	memory CCR4-positive regulatory T cell	1044
CL:0001047	CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell	-1045
CL:0001048	activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human	1046
CL:0001049	activated CD8-positive, alpha-beta T cell, human	1047
CL:0001050	effector CD8-positive, alpha-beta T cell	1048
CL:0001051	CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell	-1049
CL:0001052	CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell	-1050
CL:0001053	IgD-negative memory B cell	-1051
CL:0001054	CD14-positive monocyte	-1052
CL:0001055	CD14-positive, CD16-low monocyte	1053
CL:0001056	dendritic cell, human	-1054
CL:0001057	myeloid dendritic cell, human	1055
CL:0001058	plasmacytoid dendritic cell, human	1056
CL:0001059	common myeloid progenitor, CD34-positive	-1057
CL:0001060	hematopoietic oligopotent progenitor cell, lineage-negative	-1058
CL:0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated	1060
CL:0001065	innate lymphoid cell	-1063
CL:0001066	erythroid progenitor cell, mammalian	-1064
CL:0001067	group 1 innate lymphoid cell	-1065
CL:0001068	ILC1	-1066
CL:0001069	group 2 innate lymphoid cell	-1067
CL:0001071	group 3 innate lymphoid cell	-1069
CL:0001072	CD34-negative, CD117-positive innate lymphoid cell, human	-1070
CL:0001073	CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human	1071
CL:0001074	CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human	-1072
CL:0001075	KLRG1-positive innate lymphoid cell, human	1073
CL:0001076	NKp46-positive innate lymphoid cell, human	1074
CL:0001077	ILC1, human	1075
CL:0001078	group 3 innate lymphoid cell, human	-1076
CL:0001079	NKp44-positive group 3 innate lymphoid cell, human	1077
CL:0001080	NKp44-negative group 3 innate lymphoid cell, human	1078
CL:0001081	group 2 innate lymphoid cell, human	1079
CL:0001082	immature innate lymphoid cell	-1080
CL:0001087	effector memory CD4-positive, alpha-beta T cell, terminally differentiated	1081
CL:0001200	lymphocyte of B lineage, CD19-positive	-1082
CL:0001201	B cell, CD19-positive	-1083
CL:0001202	CD86-positive plasmablast	1084
CL:0001203	CD8-positive, alpha-beta memory T cell, CD45RO-positive	-1085
CL:0001204	CD4-positive, alpha-beta memory T cell, CD45RO-positive	-1086
CL:0002000	Kit-positive erythroid progenitor cell	1088
CL:0002001	CD34-positive, CD38-positive granulocyte monocyte progenitor	1089
CL:0002002	Kit-positive granulocyte monocyte progenitor	1090
CL:0002003	CD34-positive, GlyA-negative erythroid progenitor cell	1091
CL:0002004	CD34-negative, GlyA-negative proerythroblast	1092
CL:0002005	CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell	1093
CL:0002006	Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell	1094
CL:0002007	Kit-low, CD34-positive eosinophil progenitor cell	1095
CL:0002008	CD34-positive, CD38-positive eosinophil progenitor cell	1096
CL:0002009	macrophage dendritic cell progenitor	-1097
CL:0002010	pre-conventional dendritic cell	1098
CL:0002011	Kit-positive macrophage dendritic cell progenitor	1099
CL:0002012	Kit-low proerythroblast	1100
CL:0002013	GlyA-positive basophilic erythroblast	1101
CL:0002014	Kit-negative, Ly-76 high basophilic erythroblast	1102
CL:0002015	Kit-negative, Ly-76 high polychromatophilic erythroblast	1103
CL:0002016	CD71-low, GlyA-positive polychromatic erythroblast	1104
CL:0002017	Kit-negative, Ly-76 high orthochromatophilic erythroblasts	1105
CL:0002018	CD71-negative, GlyA-positive orthochromatic erythroblast	1106
CL:0002019	Ly-76 high reticulocyte	1107
CL:0002020	GlyA-positive reticulocytes	1108
CL:0002021	GlyA-positive erythrocyte	1109
CL:0002022	Ly-76 high positive erythrocyte	1110
CL:0002023	CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell	1111
CL:0002024	Kit-positive megakaryocyte progenitor cell	1112
CL:0002025	CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell	1113
CL:0002026	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	1114
CL:0002027	CD9-positive, CD41-positive megakaryocyte cell	1115
CL:0002028	basophil mast progenitor cell	-1116
CL:0002029	Fc-epsilon RIalpha-low mast cell progenitor	1117
CL:0002030	Fc-epsilon RIalpha-high basophil progenitor cell	1118
CL:0002031	hematopoietic lineage restricted progenitor cell	-1119
CL:0002032	hematopoietic oligopotent progenitor cell	-1120
CL:0002033	short term hematopoietic stem cell	1121
CL:0002034	long term hematopoietic stem cell	1122
CL:0002035	Slamf1-negative multipotent progenitor cell	1123
CL:0002036	Slamf1-positive multipotent progenitor cell	1124
CL:0002037	CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell	1125
CL:0002038	T follicular helper cell	-1126
CL:0002039	immature NK T cell stage I	1127
CL:0002040	immature NK T cell stage II	1128
CL:0002041	immature NK T cell stage III	1129
CL:0002042	immature NK T cell stage IV	1130
CL:0002043	CD34-positive, CD38-negative multipotent progenitor cell	1131
CL:0002044	Kit-positive, integrin beta7-high basophil mast progenitor cell	1132
CL:0002045	fraction A pre-pro B cell	1133
CL:0002046	early pro-B cell	1134
CL:0002047	fraction B precursor B cell	1135
CL:0002048	late pro-B cell	1136
CL:0002049	fraction C precursor B cell	1137
CL:0002050	fraction C' precursor B cell	1138
CL:0002051	CD38-high pre-BCR positive cell	1139
CL:0002052	fraction D precursor B cell	1140
CL:0002053	CD22-positive, CD38-low small pre-B cell	1141
CL:0002054	fraction E immature B cell	1142
CL:0002055	CD38-negative immature B cell	1143
CL:0002056	fraction F mature B cell	-1144
CL:0002057	CD14-positive, CD16-negative classical monocyte	1145
CL:0002058	Gr1-low non-classical monocyte	-1146
CL:0002059	CD8-alpha-positive thymic conventional dendritic cell	1147
CL:0002060	melanophage	1148
CL:0002061	T-helper 9 cell	1149
CL:0002087	nongranular leukocyte	-1175
CL:0002089	group 2 innate lymphoid cell, mouse	1177
CL:0002101	CD38-positive naive B cell	-1189
CL:0002102	CD38-negative naive B cell	1190
CL:0002103	IgG-positive double negative memory B cell	1191
CL:0002104	IgG-negative double negative memory B cell	1192
CL:0002105	CD38-positive IgG memory B cell	-1193
CL:0002106	IgD-positive CD38-positive IgG memory B cell	1194
CL:0002107	IgD-negative CD38-positive IgG memory B cell	1195
CL:0002108	CD38-negative IgG memory B cell	1196
CL:0002109	B220-positive CD38-positive naive B cell	-1197
CL:0002110	B220-low CD38-positive naive B cell	1198
CL:0002111	CD38-negative unswitched memory B cell	-1199
CL:0002112	B220-positive CD38-negative unswitched memory B cell	-1200
CL:0002113	B220-low CD38-negative unswitched memory B cell	1201
CL:0002114	CD38-positive unswitched memory B cell	-1202
CL:0002115	B220-positive CD38-positive unswitched memory B cell	-1203
CL:0002116	B220-low CD38-positive unswitched memory B cell	1204
CL:0002117	IgG-negative class switched memory B cell	-1205
CL:0002118	CD38-negative IgG-negative class switched memory B cell	-1206
CL:0002119	CD38-positive IgG-negative class switched memory B cell	-1207
CL:0002120	CD24-positive CD38-negative IgG-negative class switched memory B cell	1208
CL:0002121	CD24-negative CD38-negative IgG-negative class switched memory B cell	1209
CL:0002122	B220-positive CD38-positive IgG-negative class switched memory B cell	-1210
CL:0002123	B220-low CD38-positive IgG-negative class switched memory B cell	1211
CL:0002124	CD27-positive gamma-delta T cell	1212
CL:0002125	CD27-negative gamma-delta T cell	1213
CL:0002126	CD25-positive, CD27-positive immature gamma-delta T cell	1214
CL:0002127	innate effector T cell	1215
CL:0002128	Tc17 cell	1216
CL:0002150	epithelioid macrophage	1238
CL:0002151	late promyelocyte	1239
CL:0002154	early promyelocyte	1242
CL:0002155	echinocyte	1243
CL:0002191	granulocytopoietic cell	-1279
CL:0002192	metamyelocyte	-1280
CL:0002193	myelocyte	-1281
CL:0002194	monopoietic cell	-1282
CL:0002218	immature dendritic epithelial T cell precursor	1306
CL:0002246	peripheral blood stem cell	-1334
CL:0002247	pleural macrophage	1335
CL:0002318	peripheral blood mesothelial cell	1406
CL:0002338	CD56-positive, CD161-positive immature natural killer cell, human	1426
CL:0002343	decidual natural killer cell, human	1431
CL:0002344	CD56-negative, CD161-positive immature natural killer cell, human	1432
CL:0002345	CD27-low, CD11b-low immature natural killer cell, mouse	1433
CL:0002346	Dx5-negative, NK1.1-positive immature natural killer cell, mouse	1434
CL:0002347	CD27-high, CD11b-high natural killer cell, mouse	1435
CL:0002348	CD27-low, CD11b-high natural killer cell, mouse	1436
CL:0002349	CD27-high, CD11b-low natural killer cell, mouse	1437
CL:0002352	gestational hematopoietic stem cell	-1440
CL:0002353	fetal liver hematopoietic progenitor cell	1441
CL:0002354	yolk sac hematopoietic stem cell	1442
CL:0002355	primitive red blood cell	1443
CL:0002356	primitive reticulocyte	1444
CL:0002357	fetal derived definitive erythrocyte	1445
CL:0002358	pyrenocyte	1446
CL:0002359	placental hematopoietic stem cell	1447
CL:0002360	AGM hematopoietic stem cell	1448
CL:0002361	primitive erythroid progenitor	1449
CL:0002378	immature Vgamma2-positive fetal thymocyte	1466
CL:0002393	intermediate monocyte	-1481
CL:0002394	CD141-positive myeloid dendritic cell	1482
CL:0002395	Gr1-high classical monocyte	-1483
CL:0002396	CD14-low, CD16-positive monocyte	1484
CL:0002397	CD14-positive, CD16-positive monocyte	-1485
CL:0002398	Gr1-positive, CD43-positive monocyte	-1486
CL:0002399	CD1c-positive myeloid dendritic cell	1487
CL:0002400	fraction B/C precursor B cell	-1488
CL:0002401	mature dendritic epithelial T cell precursor	1489
CL:0002402	Peyer's patch B cell	1490
CL:0002403	mature Vgamma2-positive fetal thymocyte	1491
CL:0002404	fetal thymocyte	-1492
CL:0002405	gamma-delta thymocyte	-1493
CL:0002406	immature Vgamma2-positive thymocyte	1494
CL:0002407	mature Vgamma2-positive thymocyte	1495
CL:0002408	immature Vgamma2-negative thymocyte	1496
CL:0002409	mature Vgamma2-negative thymocyte	1497
CL:0002411	Vgamma1.1-positive, Vdelta6.3-negative thymocyte	-1499
CL:0002412	Vgamma1.1-positive, Vdelta6.3-positive thymocyte	-1500
CL:0002413	mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte	1501
CL:0002414	immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte	1502
CL:0002415	immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte	1503
CL:0002416	mature Vgamma1.1-positive, Vdelta6.3-positive thymocyte	1504
CL:0002417	primitive erythroid lineage cell	-1505
CL:0002419	mature T cell	-1507
CL:0002420	immature T cell	-1508
CL:0002421	nucleated reticulocyte	1509
CL:0002422	enucleated reticulocyte	-1510
CL:0002423	DN2a thymocyte	1511
CL:0002424	DN2b thymocyte	1512
CL:0002425	early T lineage precursor	1513
CL:0002426	CD11b-positive, CD27-positive natural killer cell, mouse	1514
CL:0002427	resting double-positive thymocyte	1515
CL:0002428	double-positive blast	1516
CL:0002429	CD69-positive double-positive thymocyte	1517
CL:0002430	CD4-intermediate, CD8-positive double-positive thymocyte	1518
CL:0002431	CD4-positive, CD8-intermediate double-positive thymocyte	1519
CL:0002432	CD24-positive, CD4 single-positive thymocyte	1520
CL:0002433	CD69-positive, CD4-positive single-positive thymocyte	1521
CL:0002434	CD24-positive, CD8 single-positive thymocyte	1522
CL:0002435	CD69-positive, CD8-positive single-positive thymocyte	1523
CL:0002436	mature CD4 single-positive thymocyte	1524
CL:0002437	mature CD8 single-positive thymocyte	1525
CL:0002438	NK1.1-positive natural killer cell, mouse	-1526
CL:0002439	NKGA2-positive natural killer cell, mouse	1527
CL:0002440	Ly49D-positive natural killer cell, mouse	1528
CL:0002441	CD94-positive natural killer cell, mouse	-1529
CL:0002442	CD94-negative, Ly49CI-negative natural killer cell, mouse	1530
CL:0002443	Ly49CI-positive natural killer cell, mouse	-1531
CL:0002444	Ly49H-positive natural killer cell, mouse	1532
